REF #,Actual_Gender,Model_Predictions,Model_Probabilities
10813,FEMALE,FEMALE,0.31729249797238795
1100,MALE,MALE,0.9892375808672712
5554,MALE,MALE,0.7585506343987555
10933,FEMALE,FEMALE,0.2814587282578349
2643,MALE,MALE,0.6243112390809338
11894,FEMALE,FEMALE,0.32157834610143526
5171,FEMALE,FEMALE,0.4556641266686654
9502,FEMALE,FEMALE,0.3309366070501454
10979,MALE,MALE,0.6845018205812587
1977,MALE,MALE,0.721815529660806
7582,MALE,MALE,0.9196649636316342
11142,FEMALE,FEMALE,0.2640766198641497
8958,FEMALE,FEMALE,0.1605619735808046
2022,MALE,MALE,0.9706260172249312
4794,FEMALE,FEMALE,0.28939948322954545
6305,MALE,MALE,0.9447936444060067
1394,MALE,MALE,0.9866440053180034
3981,FEMALE,FEMALE,0.3090659193044472
9085,FEMALE,FEMALE,0.1900847986232193
5385,MALE,MALE,0.7447569214274776
5152,FEMALE,FEMALE,0.24121545988086457
11013,MALE,MALE,0.62114503931422
434,MALE,MALE,0.7992805876147007
159,MALE,MALE,0.9791912972085386
2568,MALE,MALE,0.956798340656205
1358,FEMALE,FEMALE,0.340497969505461
7799,FEMALE,FEMALE,0.24094893489791047
6982,FEMALE,FEMALE,0.24485654810288504
5262,MALE,MALE,0.5017935203414627
11647,FEMALE,FEMALE,0.21689093191170408
5689,FEMALE,FEMALE,0.38886255848371626
10503,MALE,MALE,0.6322511836616047
7822,FEMALE,FEMALE,0.25642083792464193
11315,MALE,MALE,0.5784479289607851
4456,MALE,MALE,0.9527337502093601
2130,MALE,MALE,0.7598846902439716
1075,FEMALE,FEMALE,0.29683726158734414
2739,MALE,MALE,0.9618352545293414
5505,MALE,MALE,0.8707989823696681
8198,FEMALE,MALE,0.6262082841351283
1119,MALE,MALE,0.7410192022667641
7133,MALE,MALE,0.9227797371016304
5060,MALE,MALE,0.5463734976874312
11228,FEMALE,FEMALE,0.39661972768849324
7841,FEMALE,FEMALE,0.20554158380274348
11463,MALE,MALE,0.5526747099163895
4523,MALE,MALE,0.579182592724831
4366,MALE,MALE,0.9773284083868315
2369,MALE,MALE,0.9679930503578669
10061,FEMALE,FEMALE,0.31523979694452703
7352,FEMALE,FEMALE,0.30313299187339
494,FEMALE,MALE,0.5574982767558427
9716,MALE,FEMALE,0.3770623494845578
10963,MALE,MALE,0.5473131118783678
2546,MALE,MALE,0.9315324168947324
7137,MALE,MALE,0.9053687811332949
5485,MALE,MALE,0.874533869116052
9113,MALE,MALE,0.6541177445695956
11132,FEMALE,FEMALE,0.1995007401354755
4361,MALE,MALE,0.5549278616801112
3911,MALE,MALE,0.7939613706609707
573,MALE,MALE,0.7105685491292566
1253,FEMALE,FEMALE,0.22116004574667428
2320,MALE,MALE,0.9524419123036241
2413,MALE,MALE,0.679615263255165
238,MALE,MALE,0.9364956340062177
272,MALE,MALE,0.9987576551247261
3490,MALE,MALE,0.9712237135381041
1733,MALE,MALE,0.9831169362722373
4740,MALE,MALE,0.824339967437248
6728,FEMALE,FEMALE,0.42055573818966246
311,MALE,MALE,0.9974566413963756
6880,MALE,FEMALE,0.34688145859901665
11644,FEMALE,FEMALE,0.3008942148961604
77,MALE,MALE,0.9767089934762349
1001,MALE,MALE,0.9900651949854335
4276,MALE,MALE,0.6944823956670889
7334,MALE,FEMALE,0.41984331623971227
5113,MALE,MALE,0.9353895888363674
7530,FEMALE,FEMALE,0.29630843167425136
4298,MALE,MALE,0.9001394772076027
5418,MALE,MALE,0.6681805394686058
10447,FEMALE,FEMALE,0.2592637733523125
4088,MALE,MALE,0.9062324416935533
65,MALE,MALE,0.8139356904102187
11091,MALE,MALE,0.59319987305949
1974,MALE,MALE,0.9811538317642869
7818,MALE,MALE,0.7349516979919545
281,FEMALE,FEMALE,0.20377706797991824
1418,MALE,MALE,0.9812815708424663
9546,MALE,MALE,0.6194544002735269
3785,MALE,MALE,0.7739865724026987
11426,MALE,MALE,0.6584138870940989
1769,MALE,MALE,0.9946940733407774
2241,MALE,MALE,0.9964971645614726
5625,FEMALE,FEMALE,0.44932952651315106
8989,FEMALE,FEMALE,0.24540181501897818
10337,FEMALE,FEMALE,0.4008583528951755
11140,FEMALE,FEMALE,0.33331361113688
5624,FEMALE,FEMALE,0.42911807672347857
3669,FEMALE,MALE,0.6068021066957521
4581,MALE,MALE,0.6175638988311496
10901,FEMALE,FEMALE,0.30034603625947864
5787,FEMALE,FEMALE,0.42563066661148163
6058,FEMALE,FEMALE,0.2910397539427786
7096,MALE,MALE,0.9487883515449214
3889,MALE,MALE,0.6289401548696428
5878,MALE,MALE,0.737384135833167
2708,MALE,MALE,0.8706260737981881
8902,FEMALE,FEMALE,0.37931905570987756
10950,FEMALE,FEMALE,0.32353169524312797
11009,MALE,MALE,0.5746626398057777
1661,MALE,MALE,0.994694163061234
7504,FEMALE,FEMALE,0.32529766752083406
243,MALE,MALE,0.9935466546505677
9521,FEMALE,FEMALE,0.2479116044799029
8777,FEMALE,FEMALE,0.1950599575647616
7543,FEMALE,MALE,0.6024368782822381
8873,FEMALE,FEMALE,0.14821473907049604
10397,FEMALE,FEMALE,0.2559046710621129
979,MALE,MALE,0.8291844226995072
8979,MALE,MALE,0.8060555922319701
9038,MALE,MALE,0.8244194781278967
10249,MALE,MALE,0.6426182216427629
10699,MALE,MALE,0.5043474008896086
10189,MALE,MALE,0.7033715245032761
10291,FEMALE,FEMALE,0.3190992585998377
3147,MALE,MALE,0.9939315502224028
4183,MALE,MALE,0.6846338779877443
905,MALE,MALE,0.9848343149910853
7792,MALE,MALE,0.8685664487323846
386,MALE,MALE,0.9730826550267231
4018,FEMALE,FEMALE,0.36960381884487975
3004,FEMALE,MALE,0.550818560195681
5044,MALE,MALE,0.7562458918419216
780,MALE,MALE,0.9771402875031796
600,MALE,MALE,0.9928368263680764
7838,MALE,FEMALE,0.446824264934695
564,MALE,MALE,0.9924597320933449
11682,FEMALE,FEMALE,0.47215574965118157
6491,FEMALE,FEMALE,0.370800327164686
2215,MALE,MALE,0.967777746144817
3813,MALE,MALE,0.9294090316323564
6695,MALE,FEMALE,0.36902032619555464
9165,MALE,MALE,0.8145357043524913
4855,FEMALE,FEMALE,0.2105855748472482
1816,MALE,MALE,0.9706323269536119
10681,FEMALE,FEMALE,0.33838602303641735
5456,MALE,MALE,0.9151521877908074
6667,MALE,MALE,0.5508179433372615
2669,FEMALE,MALE,0.6617147730339866
9554,FEMALE,FEMALE,0.3865241586146261
7299,MALE,MALE,0.9117940838031119
1070,MALE,MALE,0.9872366709064706
8909,MALE,MALE,0.7411723150631147
182,MALE,MALE,0.9620396218688526
1105,MALE,MALE,0.9754930753727657
6570,MALE,FEMALE,0.40784025770117255
6240,FEMALE,FEMALE,0.3377964720133047
4878,MALE,MALE,0.9403376161350167
1992,MALE,MALE,0.7354048706516533
6662,FEMALE,FEMALE,0.3075770809184056
1066,MALE,MALE,0.9906194966550241
10793,MALE,MALE,0.6416795619117073
4284,FEMALE,FEMALE,0.3087943856344475
7195,FEMALE,FEMALE,0.304866261242571
8511,MALE,FEMALE,0.40384444024181404
3948,MALE,MALE,0.8929331276134869
